dataset,file_id,file_size_GB,file_loc,P_hateful,P_targeted,P_aggressive,file_ind
400m,400m_26,1.6796,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00026-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.311,0.084,0.016,laion400m-meta_00026
400m,400m_27,1.6799,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00027-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.316,0.077,0.013,laion400m-meta_00027
400m,400m_28,1.6794,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00028-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.302,0.079,0.009,laion400m-meta_00028
400m,400m_29,1.6802,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00029-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.317,0.096,0.018,laion400m-meta_00029
400m,400m_30,1.6806,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00030-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.304,0.086,0.024,laion400m-meta_00030
400m,400m_31,1.68,./the-eye.eu/public/AI/cah/laion400m-met-release/laion400m-meta/part-00031-5b54c5d5-bbcf-484d-a2ce-0d6f73df1a36-c000.snappy.parquet,0.326,0.097,0.02,laion400m-meta_00031
2B,2B_0,2.5132,./LAION-2Ben/laion2B-en/part-00026-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.361,0.093,0.0139999999999999,laion2B-en_00026
2B,2B_1,2.5131,./LAION-2Ben/laion2B-en/part-00056-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.338,0.11,0.023,laion2B-en_00056
2B,2B_2,2.5131,./LAION-2Ben/laion2B-en/part-00033-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.333,0.104,0.017,laion2B-en_00033
2B,2B_3,2.5131,./LAION-2Ben/laion2B-en/part-00074-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.353,0.101,0.02,laion2B-en_00074
2B,2B_4,2.513,./LAION-2Ben/laion2B-en/part-00019-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.333,0.104,0.018,laion2B-en_00019
2B,2B_5,2.5131,./LAION-2Ben/laion2B-en/part-00016-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.349,0.1119999999999999,0.021,laion2B-en_00016
2B,2B_6,2.513,./LAION-2Ben/laion2B-en/part-00053-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.361,0.117,0.018,laion2B-en_00053
2B,2B_7,2.513,./LAION-2Ben/laion2B-en/part-00099-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.327,0.098,0.012,laion2B-en_00099
2B,2B_8,2.5129,./LAION-2Ben/laion2B-en/part-00035-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.347,0.116,0.015,laion2B-en_00035
2B,2B_9,2.513,./LAION-2Ben/laion2B-en/part-00067-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.349,0.1,0.0139999999999999,laion2B-en_00067
2B,2B_10,2.513,./LAION-2Ben/laion2B-en/part-00098-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.337,0.104,0.021,laion2B-en_00098
2B,2B_11,2.5129,./LAION-2Ben/laion2B-en/part-00013-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.348,0.106,0.019,laion2B-en_00013
2B,2B_12,2.513,./LAION-2Ben/laion2B-en/part-00049-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.322,0.105,0.022,laion2B-en_00049
2B,2B_13,2.513,./LAION-2Ben/laion2B-en/part-00073-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.334,0.12,0.016,laion2B-en_00073
2B,2B_14,2.5129,./LAION-2Ben/laion2B-en/part-00079-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3409999999999999,0.116,0.016,laion2B-en_00079
2B,2B_15,2.5129,./LAION-2Ben/laion2B-en/part-00017-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.38,0.101,0.02,laion2B-en_00017
2B,2B_16,2.5129,./LAION-2Ben/laion2B-en/part-00039-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.364,0.111,0.027,laion2B-en_00039
2B,2B_17,2.5129,./LAION-2Ben/laion2B-en/part-00068-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3419999999999999,0.117,0.022,laion2B-en_00068
2B,2B_18,2.5128,./LAION-2Ben/laion2B-en/part-00058-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.35,0.124,0.022,laion2B-en_00058
