dataset,file_id,file_size_GB,file_loc,P_hateful,P_targeted,P_aggressive,file_ind
2B,2B_105,2.5127,./LAION-2Ben/laion2B-en/part-00114-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.334,0.101,0.017,laion2B-en_00114
2B,2B_106,2.5125,./LAION-2Ben/laion2B-en/part-00123-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.362,0.111,0.016,laion2B-en_00123
2B,2B_107,2.5126,./LAION-2Ben/laion2B-en/part-00100-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.352,0.116,0.03,laion2B-en_00100
2B,2B_108,2.5125,./LAION-2Ben/laion2B-en/part-00120-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.327,0.1119999999999999,0.012,laion2B-en_00120
2B,2B_109,2.5125,./LAION-2Ben/laion2B-en/part-00105-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.332,0.119,0.02,laion2B-en_00105
2B,2B_110,2.5124,./LAION-2Ben/laion2B-en/part-00040-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.315,0.095,0.017,laion2B-en_00040
2B,2B_111,2.5126,./LAION-2Ben/laion2B-en/part-00101-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.36,0.103,0.024,laion2B-en_00101
2B,2B_112,2.5126,./LAION-2Ben/laion2B-en/part-00115-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.325,0.098,0.015,laion2B-en_00115
2B,2B_113,2.5123,./LAION-2Ben/laion2B-en/part-00055-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.373,0.1149999999999999,0.022,laion2B-en_00055
2B,2B_114,2.5124,./LAION-2Ben/laion2B-en/part-00109-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.329,0.105,0.022,laion2B-en_00109
2B,2B_115,2.5124,./LAION-2Ben/laion2B-en/part-00094-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3429999999999999,0.11,0.016,laion2B-en_00094
2B,2B_116,2.5123,./LAION-2Ben/laion2B-en/part-00125-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.128,0.027,laion2B-en_00125
2B,2B_117,2.5124,./LAION-2Ben/laion2B-en/part-00112-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.344,0.1119999999999999,0.025,laion2B-en_00112
2B,2B_118,2.5124,./LAION-2Ben/laion2B-en/part-00118-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.337,0.105,0.017,laion2B-en_00118
2B,2B_119,2.5124,./LAION-2Ben/laion2B-en/part-00106-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.33,0.102,0.019,laion2B-en_00106
2B,2B_120,2.5124,./LAION-2Ben/laion2B-en/part-00116-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.346,0.102,0.021,laion2B-en_00116
2B,2B_121,2.5123,./LAION-2Ben/laion2B-en/part-00108-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.337,0.108,0.026,laion2B-en_00108
2B,2B_122,2.5122,./LAION-2Ben/laion2B-en/part-00030-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.359,0.09,0.017,laion2B-en_00030
2B,2B_123,2.5123,./LAION-2Ben/laion2B-en/part-00122-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.359,0.122,0.027,laion2B-en_00122
2B,2B_124,2.5122,./LAION-2Ben/laion2B-en/part-00104-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3389999999999999,0.126,0.013,laion2B-en_00104
2B,2B_125,2.512,./LAION-2Ben/laion2B-en/part-00102-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.135,0.032,laion2B-en_00102
2B,2B_126,2.512,./LAION-2Ben/laion2B-en/part-00113-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.371,0.098,0.012,laion2B-en_00113
2B,2B_127,2.5119,./LAION-2Ben/laion2B-en/part-00126-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.327,0.094,0.0139999999999999,laion2B-en_00126
